id,title,description_de,description_en,subjects,spatial,temporal,created,filetype,mimetype,rights,dataProvider,isShownAt,isShownBy,API_Endpoint
232925,0404-10b_erlofhingen,"Datenerhebung Kurt Bors, digitale Version Jacqueline Huber/Nora Siegmeth.","Data acquisition by Kurt Bors, digital version by Jacqueline Huber/Nora Siegmeth.",Wüstung | Abandoned Village | Abandoned Village | DeVill | https://vocab.getty.edu/aat/300167671 | https://www.wikidata.org/entity/Q350895,Erlofhingen,,2024-08-07,pdf,application/pdf,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/232925.pdf,https://thanados.openatlas.eu/api/display/232925,https://thanados.openatlas.eu/api/entity/232925
237065,1135-10b_niederbrunn_ker_03,,foto and drawing jug 1135-10b_niederbrunn_ker_03; by Jacqueline Huber/Nora Siegmeth,Irdenware | Krug | Reduktionsbrand | Stempelmarke | einziehender Rand | schnell gedreht | steinchengemagert | Jug | earthenware | inturned rim | stone-tempered | throwing | DeVill | Early Modern Age | Grey | Irdenware | Jug | Late Middle Ages | Stempelmarke | einziehender Rand | reduzierend gebrannt | schnell gedreht | steinchengemagert | Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie (ÖGMN),1135-10b_niederbrunn_ker_03,1450-1550 | Early Modern Age | Late Middle Ages,2024-09-17,svg,image/svg+xml,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/237065.svg,https://thanados.openatlas.eu/api/display/237065,https://thanados.openatlas.eu/api/entity/237065
237059,1135-10b_niederbrunn_ker_01,,foto and drawing pot 1135-10b_niederbrunn_ker_01; by Jacqueline Huber/Nora Siegmeth,Graphit | Irdenware | Leistenrand | Reduktionsbrand | Topf | schnell gedreht | steinchengemagert | Pot | earthenware | graphite | stone-tempered | throwing | DeVill | Grey | Irdenware | Late Middle Ages | Leistenrand | Pot | grafitgemagert | reduzierend gebrannt | schnell gedreht | steinchengemagert | Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie (ÖGMN),1135-10b_niederbrunn_ker_01,1300-1400 | Late Middle Ages,2024-09-17,svg,image/svg+xml,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/237059.svg,https://thanados.openatlas.eu/api/display/237059,https://thanados.openatlas.eu/api/entity/237059
237052,1135-10b_niederbrunn,"Scan 1135-10b_niederbrunn; Seitenanzahl: 8 Seiten; Datenakquisition N.N.; Text N.N., Kurt Bors; digitale Version Jacqueline Huber/Nora Siegmeth","Scan 1135-10b_niederbrunn; number of pages: 8; data acquisition by N.N.; text by N.N., Kurt Bors; digital version by Jacqueline Huber/Nora Siegmeth",Wüstung | Abandoned Village | Abandoned Village | DeVill | High Middle Ages | Late Middle Ages | Strayfinds | Survey | Written Sources | https://vocab.getty.edu/aat/300167671 | https://www.wikidata.org/entity/Q350895,Austria | Harmannsdorf | Korneuburg | Niederbrunn | Niederösterreich | Rückersdorf,1100-1550 | High Middle Ages | Late Middle Ages,2024-09-17,pdf,application/pdf,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/237052.pdf,https://thanados.openatlas.eu/api/display/237052,https://thanados.openatlas.eu/api/entity/237052
232917,0396-20b_enzersdorf west,"Fragebogen Fritz Felgenhauer, Datenerhebung Kurt Bors, Manuskripttext für FÖ 25 1986 Kurt Bors, Skizze 0396-20b_enzersdorf_west_skz_01; von Kurt Bors (Archiv für Mittelalterarchäologie (AMA), digitale Version Jacqueline Huber/Nora Siegmeth.","Questionnaire by Fritz Felgenhauer, data acquisition by Kurt Bors, Manuscript for FÖ 25 1986 by Kurt Bors, Settlement sketch of 0396-20b_enzersdorf_west_skz_01; by Kurt Bors (Archiv für Mittelalterarchäologie (AMA), digital version by Jacqueline Huber/Nora Siegmeth.",Wüstung | Abandoned Village | Abandoned Village | Archaeology | DeVill | Geophysical Survey | History | Magnetic Survey | Survey | Systematic Survey | Written Sources | https://vocab.getty.edu/aat/300167671 | https://www.wikidata.org/entity/Q350895,Enzersdorf West*,,2024-08-07,pdf,application/pdf,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/232917.pdf,https://thanados.openatlas.eu/api/display/232917,https://thanados.openatlas.eu/api/entity/232917
209950,0742-20b_hieshof_skz_01,"Skizze Kurt Bors, digitale Version Jacqueline Huber/Nora Siegmeth, Georeferenzierung Roland Filzwieser.","Sketch by Kurt Bors, digital version by Jacqueline Huber/Nora Siegmeth, rectification by Roland Filzwieser.",Wüstung | Abandoned Village | Abandoned Village | DeVill | https://vocab.getty.edu/aat/300167671 | https://www.wikidata.org/entity/Q350895,Hieshof*,,2023-10-04,png,image/png,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/209950.png,https://thanados.openatlas.eu/api/display/209950,https://thanados.openatlas.eu/api/entity/209950
237050,2018-10b_wilantisdorf_ker_02,,foto and drawing pot 2018-10b_wilantisdorf_ker_02; by Jacqueline Huber/Nora Siegmeth,Irdenware | Kragenrand | Reduktionsbrand | Topf | schnell gedreht | steil ansteigende Schulter | steinchengemagert | Pot | collared rim | earthenware | stone-tempered | throwing | DeVill | Grey | Irdenware | Kragenrand | Late Middle Ages | Pot | Rillendekor | reduzierend gebrannt | schnell gedreht | steil ansteigende Schulter | steinchengemagert | Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie (ÖGMN),2018-10b_wilantisdorf_ker_02,1350-1450 | Late Middle Ages,2024-09-16,svg,image/svg+xml,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/237050.svg,https://thanados.openatlas.eu/api/display/237050,https://thanados.openatlas.eu/api/entity/237050
237030,2018-10b_wilantisdorf_geschwärzt,"Scan 2018-10b_wilantisdorf_geschwärzt; Umfang: 17 Seiten; Datenakquisition: N.N., Text N.N., Kurt Bors; digitale Version Jacqueline Huber/Nora Siegmeth","Scan 2018-10b_wilantisdorf_geschwaerzt; number of pages: 17; Data acquisition by N.N., Text by N.N., Kurt Bors; digital version by Jacqueline Huber/Nora Siegmeth",Wüstung | Abandoned Village | Abandoned Village | DeVill | High Middle Ages | Late Middle Ages | Strayfinds | Survey | Written Sources | https://vocab.getty.edu/aat/300167671 | https://www.wikidata.org/entity/Q350895,Austria | Harmannsdorf | Korneuburg | Niederösterreich | Rückersdorf | Wilantisdorf,1080-1500 | High Middle Ages | Late Middle Ages,2024-09-16,pdf,application/pdf,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/237030.pdf,https://thanados.openatlas.eu/api/display/237030,https://thanados.openatlas.eu/api/entity/237030
237018,0773-20b_hofstätten_3*_ker_02,,foto and drawing storage jar 0773-20b_hofstaetten_3*_ker_02; by Jacqueline Huber/Nora Siegmeth,Graphit | Irdenware | Keulenrand | Reduktionsbrand | Topf | frei geformt | steinchengemagert | Pot | earthenware | graphite | stone-tempered | DeVill | Graphite | High Middle Ages | Irdenware | Keulenrand | Pot | frei geformt | grafitgemagert | reduzierend gebrannt | steinchengemagert | Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie (ÖGMN),0773-20b_hofstätten_3*_ker_02,1000-1200 | High Middle Ages,2024-09-16,svg,image/svg+xml,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/237018.svg,https://thanados.openatlas.eu/api/display/237018,https://thanados.openatlas.eu/api/entity/237018
232914,0394-10b_engelsperg,"Datenerhebung N.N., digitale Version Jacqueline Huber/Nora Siegmeth.","Data acquisition by N.N., digital version by Jacqueline Huber/Nora Siegmeth.",Wüstung | Abandoned Village | Abandoned Village | DeVill | https://vocab.getty.edu/aat/300167671 | https://www.wikidata.org/entity/Q350895,Engelsperg,,2024-08-07,pdf,application/pdf,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/232914.pdf,https://thanados.openatlas.eu/api/display/232914,https://thanados.openatlas.eu/api/entity/232914
237015,0773-20b_hofstätten_3*_ker_01,,foto and drawing pot 0773-20b_hofstaetten_3*_ker_01; by Jacqueline Huber/Nora Siegmeth,Irdenware | Kremprand | Reduktionsbrand | Topf | schnell gedreht | steinchengemagert | Pot | earthenware | hooked rim | stone-tempered | throwing | DeVill | Grey | Irdenware | Kremprand | Late Middle Ages | Pot | reduzierend gebrannt | schnell gedreht | steinchengemagert | Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie (ÖGMN),0773-20b_hofstätten_3*_ker_01,1300-1400 | Late Middle Ages,2024-09-16,svg,image/svg+xml,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/237015.svg,https://thanados.openatlas.eu/api/display/237015,https://thanados.openatlas.eu/api/entity/237015
237006,0766-20b_hof_seebarn*_ker_02,,foto and drawing jug 0766-20b_hof_seebarn_ker_02; by Jacqueline Huber/Nora Siegmeth,Irdenware | Krug | Reduktionsbrand | Trocknungseinschnitt | steinchengemagert | Jug | earthenware | stone-tempered | DeVill | Grey | Irdenware | Jug | Late Middle Ages | Trocknungseinschnitt | reduzierend gebrannt | steinchengemagert | Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie (ÖGMN),0766-20b_hof_seebarn*_ker_02,1300-1600 | Late Middle Ages,2024-09-16,svg,image/svg+xml,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/237006.svg,https://thanados.openatlas.eu/api/display/237006,https://thanados.openatlas.eu/api/entity/237006
