file_id,filename,file_label,object_id,object_name
253391,253391.pdf,1284-10b_pinizporz,203162,Pinizporz
207673,207673.pdf,wuestungslisten_kl_M-Z,203164,Pirach
253392,253392.pdf,1285-10b_pirach,203164,Pirach
229351,229351.glb,1285-10b_Pirach,203164,Pirach
212472,212472.png,1285-10b_Pirach_skz_01,203164,Pirach
207673,207673.pdf,wuestungslisten_kl_M-Z,203166,Pirchae
253395,253395.pdf,1286-10b_pirchae,203166,Pirchae
207673,207673.pdf,wuestungslisten_kl_M-Z,203168,Pirchehe
253398,253398.pdf,1287-10b_pirchehe,203168,Pirchehe
207673,207673.pdf,wuestungslisten_kl_M-Z,203170,Pirichech
253405,253405.pdf,1288-10b_pirichech,203170,Pirichech
207673,207673.pdf,wuestungslisten_kl_M-Z,203172,Pischolfshofen
253407,253407.pdf,1289-10b_pischolfshofen,203172,Pischolfshofen
207673,207673.pdf,wuestungslisten_kl_M-Z,203174,Pischolfstorf
253417,253417.pdf,1290-10b_pischolfstorf_geschwärzt,203174,Pischolfstorf
229352,229352.glb,1290-10b_Pischolfstorf,203174,Pischolfstorf
212473,212473.png,1290-10b_Pischolfstorf,203174,Pischolfstorf
207673,207673.pdf,wuestungslisten_kl_M-Z,203176,Pischolstorf
253418,253418.pdf,1291-10b_pischolsstorf,203176,Pischolstorf
207673,207673.pdf,wuestungslisten_kl_M-Z,203178,Piscolfstorf
253591,253591.pdf,1292-10b_piscolfstorf,203178,Piscolfstorf
207673,207673.pdf,wuestungslisten_kl_M-Z,203180,Piscolfstorf
253592,253592.pdf,1293-10b_piscolfstorf,203180,Piscolfstorf
207673,207673.pdf,wuestungslisten_kl_M-Z,203182,Piscolristorph
253594,253594.pdf,1294-10b_piscolristorph,203182,Piscolristorph
207673,207673.pdf,wuestungslisten_kl_M-Z,203184,Pittrichesdorf
253597,253597.pdf,1295-10b_pittrichesdorf,203184,Pittrichesdorf
207673,207673.pdf,wuestungslisten_kl_M-Z,203186,Piugum
253600,253600.pdf,1296-10b_piugum,203186,Piugum
207673,207673.pdf,wuestungslisten_kl_M-Z,203188,Plad
253603,253603.pdf,1297-10b_plad,203188,Plad
229592,229592.glb,1297-10b_Plad,203188,Plad
212474,212474.png,1297-10b_Plad,203188,Plad
207673,207673.pdf,wuestungslisten_kl_M-Z,203190,Plaichen
253610,253610.pdf,1298-10b_plaichen,203190,Plaichen
207673,207673.pdf,wuestungslisten_kl_M-Z,203192,Planche
253612,253612.pdf,1299-10b_planche,203192,Planche
207673,207673.pdf,wuestungslisten_kl_M-Z,203194,Planchenek
254538,254538.pdf,1300-10b_planchenek,203194,Planchenek
207673,207673.pdf,wuestungslisten_kl_M-Z,203196,Plasenstein
254540,254540.pdf,1301-10b_plasenstein,203196,Plasenstein
207673,207673.pdf,wuestungslisten_kl_M-Z,203199,Pleccingin
254552,254552.pdf,1303-10b_plecchingin,203199,Pleccingin
229946,229946.glb,1303-10b_Pleccingin,203199,Pleccingin
212475,212475.png,1303-10b_Pleccingin,203199,Pleccingin
207673,207673.pdf,wuestungslisten_kl_M-Z,203201,Plehsengraben
254556,254556.pdf,1304-10b_plehsengraben,203201,Plehsengraben
207673,207673.pdf,wuestungslisten_kl_M-Z,203203,Pleinstein
254557,254557.pdf,1305-10b_pleinstein,203203,Pleinstein
207673,207673.pdf,wuestungslisten_kl_M-Z,203205,Plesperch
254562,254562.pdf,1306-10b_plesperch,203205,Plesperch
229599,229599.glb,1306-10b_Plesperc,203205,Plesperch
212517,212517.png,1306-10b_Plesperc,203205,Plesperch
207673,207673.pdf,wuestungslisten_kl_M-Z,203207,Plessberg
254724,254724.pdf,1307-10b_plessberg,203207,Plessberg
207673,207673.pdf,wuestungslisten_kl_M-Z,203209,Pletichendorf
254725,254725.pdf,1308-10b_pletichendorf,203209,Pletichendorf
207673,207673.pdf,wuestungslisten_kl_M-Z,203211,Pletichindorf
254731,254731.pdf,1309-10b_pletichindorf,203211,Pletichindorf
207673,207673.pdf,wuestungslisten_kl_M-Z,203213,Plinkenberg
254732,254732.pdf,1310-10b_plinkenberg,203213,Plinkenberg
207673,207673.pdf,wuestungslisten_kl_M-Z,203215,Plintendorf
254736,254736.pdf,1311-10b_plintendorf,203215,Plintendorf
207673,207673.pdf,wuestungslisten_kl_M-Z,203217,Plintindorf
254740,254740.pdf,1312-10b_plintindorf,203217,Plintindorf
207673,207673.pdf,wuestungslisten_kl_M-Z,203219,Plochstorf
255593,255593.pdf,1313-10b_plochstorf,203219,Plochstorf
212518,212518.png,1313-10b_Plochsdorf,203219,Plochstorf
207673,207673.pdf,wuestungslisten_kl_M-Z,203221,Pobendorf
255596,255596.pdf,1314-10b_pobendorf,203221,Pobendorf
207673,207673.pdf,wuestungslisten_kl_M-Z,203223,Podlaren
255600,255600.pdf,1315-10b_podlaren,203223,Podlaren
229606,229606.glb,1315-10b_Podlaren,203223,Podlaren
212519,212519.png,1315-10b_Podlaren,203223,Podlaren
207673,207673.pdf,wuestungslisten_kl_M-Z,203225,Poden
255606,255606.pdf,1316-10b_poden,203225,Poden
207673,207673.pdf,wuestungslisten_kl_M-Z,203227,Podenpach
255607,255607.pdf,1317-10b_podenpach,203227,Podenpach
207673,207673.pdf,wuestungslisten_kl_M-Z,203229,Podenzeil
255611,255611.pdf,1318-10b_podenzeil,203229,Podenzeil
207673,207673.pdf,wuestungslisten_kl_M-Z,203231,Poendorf
212520,212520.png,1319-10b_Poendorf,203231,Poendorf
255618,255618.pdf,1319-10b_poendorf_geschwärzt,203231,Poendorf
207673,207673.pdf,wuestungslisten_kl_M-Z,203233,Pogstorffer
255630,255630.pdf,1320-10b_pogstorffer,203233,Pogstorffer
207673,207673.pdf,wuestungslisten_kl_M-Z,203235,Polan
255631,255631.pdf,1321-10b_polan,203235,Polan
207673,207673.pdf,wuestungslisten_kl_M-Z,203237,Pola
255633,255633.pdf,1322-10b_polan,203237,Pola
207673,207673.pdf,wuestungslisten_kl_M-Z,203239,Poligin
255634,255634.pdf,1323-10b_poligin,203239,Poligin
207673,207673.pdf,wuestungslisten_kl_M-Z,203241,Pölla
255635,255635.pdf,1324-10b_poella,203241,Pölla
207673,207673.pdf,wuestungslisten_kl_M-Z,203243,Pölla
212521,212521.png,1325-10b_Pölla,203243,Pölla
255637,255637.pdf,1325-10b_poella,203243,Pölla
207673,207673.pdf,wuestungslisten_kl_M-Z,203245,Pöllchendorf
255638,255638.pdf,1326-10b_poellchendorf,203245,Pöllchendorf
207673,207673.pdf,wuestungslisten_kl_M-Z,203247,Pöllchendorf
255639,255639.pdf,1327-10b_poellchendorf,203247,Pöllchendorf
