parent_id,name,id,type,path,description,begin_from,begin_to,end_from,end_to,class,geometry,lon,lat,devill_endpoint,API_Endpoint
,Hadmars,200496,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0608-10b Hadmars,,,,,place,,,,https://devill.oegmn.or.at/entity/200496,https://thanados.openatlas.eu/api/entity/200496
,Hadmars,200498,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,"0609-10b Hadmars
HONB H112",1000,1100,1400,1450,place,"{""type"":""Polygon"",""coordinates"":[[[15.179760754,48.897258502],[15.179935098,48.897376644],[15.180085301,48.897387224],[15.180640519,48.897339614],[15.181080401,48.897299058],[15.181394219,48.897235579],[15.18168658,48.897177389],[15.181874335,48.897078644],[15.181938708,48.896949921],[15.181960166,48.896812381],[15.181887746,48.896681895],[15.181796551,48.896597255],[15.181616843,48.896496744],[15.181429088,48.896435027],[15.181168914,48.8963786],[15.181002617,48.89637331],[15.180769265,48.896435027],[15.180546641,48.896547881],[15.180366933,48.896667788],[15.180176497,48.896754192],[15.180007517,48.896803565],[15.17981708,48.896847648],[15.179632008,48.896897021],[15.179543495,48.896934051],[15.179532766,48.897013401],[15.179564953,48.89711391],[15.179672241,48.897203839],[15.179760754,48.897258502]]]}",48.8968723345,15.180837678243403,https://devill.oegmn.or.at/entity/200498,https://thanados.openatlas.eu/api/entity/200498
,Hadmarsa,200500,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0610-10b Hadmarsa,,,,,place,,,,https://devill.oegmn.or.at/entity/200500,https://thanados.openatlas.eu/api/entity/200500
,Hadmarstorff,200502,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0611-10b Hadmarstorff,,,,,place,"{""type"":""Polygon"",""coordinates"":[[[15.460864305,48.830423048],[15.463117361,48.829554331],[15.463562608,48.829310663],[15.463846922,48.829070526],[15.46400249,48.828865702],[15.46405077,48.828699724],[15.464056134,48.828441926],[15.46405077,48.828085245],[15.463970304,48.82781685],[15.463879108,48.827643805],[15.46372354,48.827499012],[15.463508964,48.827421318],[15.463154912,48.827375408],[15.462672114,48.827421318],[15.461341739,48.827710904],[15.460837483,48.827876886],[15.460606813,48.828085245],[15.460386872,48.828463115],[15.460188389,48.828844514],[15.46012938,48.829084652],[15.460145473,48.829215315],[15.460258126,48.829540205],[15.460478067,48.829999285],[15.460676551,48.83034889],[15.46077311,48.830394798],[15.460864305,48.830423048]]]}",48.82896811417562,15.4620413613622,https://devill.oegmn.or.at/entity/200502,https://thanados.openatlas.eu/api/entity/200502
,Hadreinstorf,200504,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,"0612-10b Hadreinstorf
(auf Skizze 0628-30 Haiderichisdorf / Hedrensdorf / Haderstorf; 0628-30 alte Nummer, weder Mappe noch in Liste)",,,,,place,"{""type"":""Polygon"",""coordinates"":[[[16.024637818,48.444949047],[16.025378108,48.445023774],[16.025909185,48.445077151],[16.026322246,48.445091384],[16.026858687,48.445062917],[16.027309299,48.444963281],[16.027770638,48.444778243],[16.027995944,48.444589645],[16.028285623,48.444365462],[16.028414369,48.444166187],[16.028425097,48.444006055],[16.028312445,48.443860156],[16.028033495,48.443821013],[16.027448773,48.443735608],[16.026810408,48.443596826],[16.026220322,48.443436692],[16.025807261,48.443337053],[16.025286913,48.44317336],[16.024927497,48.442995432],[16.024632454,48.442942053],[16.024155021,48.442917143],[16.023833156,48.44314845],[16.023640037,48.44349007],[16.023548841,48.443771194],[16.023511291,48.444105693],[16.023516655,48.444329877],[16.023564935,48.444529151],[16.023736596,48.444689281],[16.023956537,48.444831619],[16.024230123,48.444895671],[16.024637818,48.444949047]]]}",48.4439331055,16.025949718115093,https://devill.oegmn.or.at/entity/200504,https://thanados.openatlas.eu/api/entity/200504
,Hadres,200506,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0613-10b Hadres,,,,,place,,,,https://devill.oegmn.or.at/entity/200506,https://thanados.openatlas.eu/api/entity/200506
,Hadunartesdorf,200508,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,"0614-10b Hadunartesdorf
HONB H25",1100,1120,1450,1500,place,"{""type"":""Polygon"",""coordinates"":[[[16.341031194,47.944295236],[16.34092927,47.944201809],[16.340902448,47.94407604],[16.340843439,47.943849657],[16.34083271,47.943587338],[16.340902448,47.943357358],[16.34111166,47.943127378],[16.341433525,47.942839901],[16.341846585,47.942538048],[16.342275739,47.942376341],[16.342769265,47.942333219],[16.343262792,47.942423057],[16.343938708,47.942688975],[16.344464421,47.942940518],[16.34530127,47.943389699],[16.345853806,47.943702327],[16.346229315,47.94402214],[16.34636879,47.94433117],[16.346325874,47.944561145],[16.345853806,47.944877359],[16.345371008,47.945074992],[16.344432235,47.945229504],[16.343627572,47.945294184],[16.343160868,47.945222318],[16.342586875,47.945006719],[16.341031194,47.944295236]]]}",47.943775992,16.343390362974347,https://devill.oegmn.or.at/entity/200508,https://thanados.openatlas.eu/api/entity/200508
,Haeimonis,200510,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0615-10b Haeimonis,,,,,place,,,,https://devill.oegmn.or.at/entity/200510,https://thanados.openatlas.eu/api/entity/200510
,Haeindorf,200512,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0616-10b Haeindorf,,,,,place,,,,https://devill.oegmn.or.at/entity/200512,https://thanados.openatlas.eu/api/entity/200512
,Haemed,200514,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0618-10b Haemed,,,,,place,,,,https://devill.oegmn.or.at/entity/200514,https://thanados.openatlas.eu/api/entity/200514
